Location,Latitude,Longitude,Cases
USA,39.7837304,-100.445882,914
USA:Connecticut,41.6500201,-72.7342163,627
USA: Nebraska,41.7370229,-99.5873816,2
USA: Miami Florida,25.7389019,-80.2396989,2
"USA: Sacramento, California",38.5522894,-121.3352076575167,144
"USA: Ramsey, Minnesota",44.95642695,-93.10306871961981,12
"USA: Lucas, Ohio",41.690488200000004,-83.63395554850132,6
"USA: Mahnomen, Minnesota",47.319329820068184,-95.97242084518572,1
"USA: Hillsborough, New Hampshire",42.992957000000004,-71.45896223035663,16
"USA: Cook, Illinois",41.83616405,-87.62647227745128,26
"USA: Kern, California",35.449040749999995,-119.08108393012085,20
"USA: Grant, Washington",43.32017085,-88.38657566988931,6
"USA: Polk, Iowa",41.59038385,-93.60778142377049,46
"USA: San Diego, California",32.8506991,-116.97996519652708,61
"USA: Rockingham, New Hampshire",42.743638,-71.2097063,21
"USA: Fillmore, Minnesota",43.6764098,-92.05686619509882,2
"USA: Woodbury, Iowa",42.485049000000004,-96.34561502143946,10
"USA: Williams, Ohio",41.6282987,-84.8056544,3
"USA: Larimer, Colorado",40.339672,-105.57104795000001,94
"USA: Story, Iowa",42.0279608,-93.64473746093857,17
"USA: nan, Idaho",44.059303570623115,-103.20874987410625,2
"USA: Allen, Louisiana",30.62254574985024,-92.7603709514874,6
"USA: Ascension, Louisiana",30.104186749999997,-90.98908408542106,4
"USA: Black Hawk, Iowa",42.51495695,-92.46295221070969,14
"USA: Yolo, California",38.533790350000004,-121.79075439946112,40
"USA: Pottawattamie, Iowa",41.2283815,-95.87151471291999,21
"USA: Summit, Ohio",41.07387889476593,-81.52806529750923,5
"USA: Washington, Minnesota",40.20256835,-79.93641685,4
"USA: Monona, Iowa",43.05222577441754,-91.38469203662878,2
"USA: Nobles, Minnesota",43.606638170617096,-95.61517216581926,2
"USA: Tangipahoa, Louisiana",30.5182254,-90.46881486064369,2
"USA: St. Tammany, Louisiana",30.6485219,-90.1534151,3
"USA: Ouachita, Louisiana",33.538203441904116,-92.8187111971304,6
"USA: Spokane, Washington",47.6099669,-117.365167,5
"USA: Bossier, Louisiana",32.56077955,-93.39867939184907,3
"USA: Steele, Minnesota",44.07488861743944,-93.20662258346547,1
"USA: Lincoln, Washington",33.4667443,-105.7691533,1
"USA: Hennepin, Minnesota",44.9863392,-93.17945580218503,12
"USA: Anoka, Minnesota",45.1378651,-93.2064113,7
"USA: Pope, Minnesota",45.65022414210091,-95.3962190102197,1
"USA: Belmont, Ohio",40.07504705,-80.97317675457347,1
"USA: Montgomery, Ohio",38.9874108,-77.23618855473202,5
"USA: San Bernardino, California",34.7627147,-114.5732376,1
"USA: Pierce, Washington",47.194668199999995,-122.46144040212667,4
"USA: Redwood, Minnesota",44.54672660538438,-95.01846702250889,1
"USA: St. Louis, Minnesota",46.8203898,-92.08527412081386,5
"USA: Benton, Oregon",44.56305595,-123.28392337694638,1
"USA: Dakota, Minnesota",44.8486705,-93.18329681646395,5
"USA: Stanislaus, California",37.31208495,-121.0153571,2
"USA: Caddo, Louisiana",32.4809793,-93.76117656473542,4
"USA: Pennington, Minnesota",44.0461424,-103.19982876631927,1
"USA: Benton, Minnesota",44.60086305502607,-123.22766478061217,1
"USA: Mower, Minnesota",43.6730904,-92.93768313503628,2
"USA: Umatilla, Oregon",45.696233899999996,-118.84198828544702,2
"USA: Morrow, Oregon",45.83415278309566,-119.69567261055106,2
"USA: Fremont, Iowa",41.45387634647024,-96.51023398662747,1
"USA: Olmsted, Minnesota",44.0224772,-92.46348537586489,3
"USA: Big Stone, Minnesota",45.7368528,-97.0398215,1
"USA: Franklin, Ohio",39.9948571,-83.01987393588868,4
"USA: Sherburne, Minnesota",45.543715,-94.10440071923531,3
"USA: Calcasieu, Louisiana",30.2309992,-93.2730019,1
"USA: Beltrami, Minnesota",47.72626165,-94.5475486,1
"USA: Los Angeles, California",34.0745997,-118.0534304,2
"USA: Lorain, Ohio",41.2931058,-82.23256872913781,2
"USA: Van Buren, Iowa",40.675147875146564,-92.16063212164755,1
"USA: Meeker, Minnesota",45.0750454,-94.55578820326804,1
"USA: Scott, Minnesota",44.8011037,-93.52862736102368,2
"USA: Walla, Washington",46.0480961,-118.35216456947175,1
"USA: Franklin, Washington",38.5581072,-91.0120878,1
"USA: Otter Tail, Minnesota",46.291259616010876,-96.05264896641732,2
"USA: Malheur, Oregon",42.2801618,-117.1240223,2
"USA: Madera, California",37.242450399999996,-119.538708352063,1
"USA: Kandiyohi, Minnesota",45.117965300906704,-95.04792162581373,2
"USA: Renville, Minnesota",44.4657525718917,-94.80303902911236,1
"USA: Stearns, Minnesota",45.56435848361401,-94.31973363909358,3
"USA: Crow Wing, Minnesota",46.343141207096735,-94.22104969353894,1
"USA: Lyon, Minnesota",44.45744485,-95.75923679578392,2
"USA: Carver, Minnesota",44.795112450000005,-93.58162647355795,1
"USA: nan, Iowa",43.3914865,-98.52641015875253,1
