Accession;Org_location;Geo_Location;Country;USA;Host;Host family;Tissue_Specimen_Source;Collection_Date;Total Monthly Precipitation;Monthly Maximum Temperature;Monthly Minimum Temperature
DQ874424;USA;USA: Illinois, Cook;USA;IL;Corvus brachyrhynchos;Bird;;23-07-2002;1.63;30.6;20.4
DQ874426;USA;USA: Illinois, Cook;USA;IL;Corvus brachyrhynchos;Bird;;23-07-2002;1.63;30.6;20.4
DQ874427;USA;USA: Illinois, Cook;USA;IL;Corvus brachyrhynchos;Bird;;26-07-2002;1.63;30.6;20.4
DQ874430;USA;USA: Illinois, Cook;USA;IL;Corvus brachyrhynchos;Bird;;26-07-2002;1.63;30.6;20.4
DQ874425;USA;USA: Illinois, Cook;USA;IL;Corvus brachyrhynchos;Bird;;30-07-2002;1.63;30.6;20.4
DQ874428;USA;USA: Illinois, Crawford;USA;IL;Cyanocitta cristata;Bird;;05-08-2002;6.25;28.9;18.1
DQ874429;USA;USA: Illinois, Iroquois;USA;IL;Corvus brachyrhynchos;Bird;;05-08-2002;6.25;28.9;18.1
DQ874431;USA;USA: Illinois, Clinton;USA;IL;Corvus brachyrhynchos;Bird;;07-08-2002;6.25;28.9;18.1
DQ874432;USA;USA: Illinois, Clinton;USA;IL;Cyanocitta cristata;Bird;;09-08-2002;6.25;28.9;18.1
DQ874434;USA;USA: Illinois, Perry;USA;IL;Cyanocitta cristata;Bird;;16-08-2002;6.25;28.9;18.1
DQ874433;USA;USA: Illinois, Perry;USA;IL;Cyanocitta cristata;Bird;;18-08-2002;6.25;28.9;18.1
DQ874435;USA;USA: Illinois, Perry;USA;IL;Cyanocitta cristata;Bird;;20-08-2002;6.25;28.9;18.1
DQ874436;USA;USA: Illinois, Macoupin;USA;IL;Cyanocitta cristata;Bird;;22-08-2002;6.25;28.9;18.1
DQ874437;USA;USA: Illinois, Grundy;USA;IL;Corvus brachyrhynchos;Bird;;23-08-2002;6.25;28.9;18.1
KX547305;USA;USA: Albany Co., NY;USA;NY;Corvus brachyrhynchos;Bird;;25-08-2002;4.53;28.3;16
DQ874438;USA;USA: Illinois, Douglas;USA;IL;Cyanocitta cristata;Bird;;27-08-2002;6.25;28.9;18.1
DQ874439;USA;USA: Illinois, Moultrie;USA;IL;Cyanocitta cristata;Bird;;28-08-2002;6.25;28.9;18.1
KX547263;USA;USA: Albany Co., NY;USA;NY;Cardinalis cardinalis;Bird;;16-09-2002;3.14;23.9;11.3
KX547474;USA;USA: Albany Co., NY;USA;NY;Sciurus carolinensis;Bird;;11-10-2002;5.18;13.2;3.6
DQ874451;USA;USA: Illinois, Cook;USA;IL;Cyanocitta cristata;Bird;;09-07-2003;5.5;28.1;17.1
DQ874452;USA;USA: Illinois, Mclean;USA;IL;Corvus brachyrhynchos;Bird;;16-07-2003;5.5;28.1;17.1
DQ874453;USA;USA: Illinois, Champaign;USA;IL;Corvus brachyrhynchos;Bird;;05-08-2003;2.11;28.5;18.6
DQ874454;USA;USA: Illinois, Perry;USA;IL;Cyanocitta cristata;Bird;;14-08-2003;2.11;28.5;18.6
KX547592;USA;USA: Albany Co., NY;USA;NY;;Culicidae;;22-08-2003;4.25;27.3;16.8
DQ874455;USA;USA: Illinois, Champaign;USA;IL;Corvus brachyrhynchos;Bird;;26-08-2003;2.11;28.5;18.6
DQ874456;USA;USA: Illinois, Cook;USA;IL;Corvus brachyrhynchos;Bird;;10-09-2003;1.97;23.2;12.3
DQ874457;USA;USA: Illinois, Dekalb;USA;IL;Corvus brachyrhynchos;Bird;;19-09-2003;1.97;23.2;12.3
KX547311;USA;USA: Albany Co., NY;USA;NY;Sciurus carolinensis;Bird;;25-09-2003;5.22;22;10.7
KX547609;USA;USA: Albany Co., NY;USA;NY;Sciurus carolinensis;Bird;;25-09-2003;5.22;22;10.7
DQ874458;USA;USA: Illinois, Bond;USA;IL;Cyanocitta cristata;Bird;;15-10-2003;1.91;17;5.8
DQ874459;USA;USA: Illinois, Mclean;USA;IL;Corvus brachyrhynchos;Bird;;09-06-2004;3.07;24.72;13
DQ874460;USA;USA: Illinois, Vermilion;USA;IL;Corvus brachyrhynchos;Bird;;09-06-2004;3.07;24.72;13
DQ823116;USA;USA: Albany Co., NY;USA;NY;Corvus brachyrhynchos;Bird;kidney, abdominal cavity;18-06-2004;2.2;23.9;12
KX547346;USA;USA: Albany Co., NY;USA;NY;Corvus brachyrhynchos;Bird;;18-06-2004;2.2;23.9;12
DQ874461;USA;USA: Illinois, Cook;USA;IL;Corvus brachyrhynchos;Bird;;28-06-2004;3.07;24.72;13
DQ874462;USA;USA: Illinois, Will;USA;IL;Cyanocitta cristata;Bird;;07-07-2004;3.67;24.4;12.7
OQ721630;USA;USA: Sacramento, California;USA;CA;Culex pipiens;Culicidae;pooled insects;23-07-2004;0;33.6;15.6
OQ721830;USA;USA: Sacramento, California;USA;CA;Culex tarsalis;Culicidae;pooled insects;23-07-2004;0;33.6;15.6
MH507891;USA;USA: Bakersfield,California;USA;CA;Culex quinquefasciatus;Culicidae;pooled insects;05-08-2004;0;35.3;20.6
MH507892;USA;USA: Arvin,California;USA;CA;Culex quinquefasciatus;Culicidae;pooled insects;05-08-2004;;;
MH507893;USA;USA: Arvin,California;USA;CA;Culex quinquefasciatus;Culicidae;pooled insects;05-08-2004;;;
OQ721488;USA;USA: Sacramento, California;USA;CA;Culex tarsalis;Culicidae;pooled insects;06-08-2004;0;33.6;15.7
MH507894;USA;USA: Bakersfield,California;USA;CA;Culex quinquefasciatus;Culicidae;pooled insects;10-08-2004;0;35.3;20.6
MH507895;USA;USA: Arvin,California;USA;CA;Culex quinquefasciatus;Culicidae;pooled insects;11-08-2004;;;
MH507896;USA;USA: Bakersfield,California;USA;CA;Culex quinquefasciatus;Culicidae;pooled insects;11-08-2004;0;35.3;20.6
MH507897;USA;USA: Arvin,California;USA;CA;Culex tarsalis;Culicidae;pooled insects;11-08-2004;;;
OQ721583;USA;USA: Kern, California;USA;CA;Corvus brachyrhynchos;Bird;tissue;11-08-2004;0;36.8;14.7
OQ721697;USA;USA: Sacramento, California;USA;CA;Culex tarsalis;Culicidae;pooled insects;11-08-2004;0;33.6;15.7
OQ721710;USA;USA: Sacramento, California;USA;CA;;;tissue;12-08-2004;0;33.6;15.7
