Accession;Org_location;Geo_Location;Country;USA;Host;Host family;Tissue_Specimen_Source;Collection_Date;Total Monthly Precipitation;Monthly Maximum Temperature;Monthly Minimum Temperature
OZ201323;USA;USA:Connecticut;USA;CT;Aedes albopictus;Culicidae;;21-09-2016;2;25;13.6
OZ201542;USA;USA:Connecticut;USA;CT;Aedes albopictus;Culicidae;;13-08-2018;5.8;28.6;18.9
MK251051;Turkey;Northern Anatolia, Turkey;Turkey;;Aedes albopictus;Culicidae;;23-06-2017;2.76;24.5;14.5
OZ201405;USA;USA:Connecticut;USA;CT;Aedes cinereus;Culicidae;;05-09-2018;8.68;23.5;14.9
OZ201644;USA;USA:Connecticut;USA;CT;Aedes japonicus;Culicidae;;01-08-2018;5.8;28.6;18.9
OR472391;Hungary;Spain: Andalusia, Coria ;Spain;;Anopheles atroparvus;Culicidae;;30-08-2021;0.04;36.6;21.1
OZ201419;USA;USA:Connecticut;USA;CT;Coquillettidia perturbans;Culicidae;;06-08-2018;5.8;28.6;18.9
OZ201418;USA;USA:Connecticut;USA;CT;Coquillettidia perturbans;Culicidae;;14-08-2018;5.8;28.6;18.9
OZ201659;USA;USA:Connecticut;USA;CT;Coquillettidia perturbans;Culicidae;;11-09-2018;8.68;23.5;14.9
OZ201509;USA;USA:Connecticut;USA;CT;Coquillettidia perturbans;Culicidae;;29-08-2019;4.29;27.5;15.9
OQ721630;USA;USA: Sacramento, California;USA;CA;Culex pipiens;Culicidae;pooled insects;23-07-2004;0;33.6;15.6
OQ721843;USA;USA: Sacramento, California;USA;CA;Culex pipiens;Culicidae;pooled insects;20-08-2005;0;34.9;15.7
OQ721348;USA;USA: Sacramento, California;USA;CA;Culex pipiens;Culicidae;pooled insects;26-07-2006;0;36;17.8
OQ721756;USA;USA: Sacramento, California;USA;CA;Culex pipiens;Culicidae;pooled insects;01-08-2007;0;33.8;15.7
OQ721618;USA;USA: Sacramento, California;USA;CA;Culex pipiens;Culicidae;pooled insects;25-07-2008;0;33.8;15.4
OQ721372;USA;USA: Sacramento, California;USA;CA;Culex pipiens;Culicidae;pooled insects;13-08-2008;0;34.3;15.6
OQ721308;USA;USA: Sacramento, California;USA;CA;Culex pipiens;Culicidae;pooled insects;05-10-2010;2.29;24.6;11.7
OQ721272;USA;USA: Sacramento, California;USA;CA;Culex pipiens;Culicidae;pooled insects;13-10-2010;2.29;24.6;11.7
OQ721363;USA;USA: Sacramento, California;USA;CA;Culex pipiens;Culicidae;pooled insects;23-09-2011;0;33.1;14.6
OQ721852;USA;USA: Sacramento, California;USA;CA;Culex pipiens;Culicidae;pooled insects;07-06-2012;0.06;30.9;13.6
OQ721130;USA;USA: Sacramento, California;USA;CA;Culex pipiens;Culicidae;pooled insects;24-08-2012;0;35;15.2
OQ721793;USA;USA: Sacramento, California;USA;CA;Culex pipiens;Culicidae;pooled insects;21-06-2013;0.41;32.1;14.8
OQ721219;USA;USA: Sacramento, California;USA;CA;Culex pipiens;Culicidae;pooled insects;31-07-2014;0.02;34.5;16.8
OQ721641;USA;USA: Sacramento, California;USA;CA;Culex pipiens;Culicidae;pooled insects;07-07-2015;0;33.9;16.9
OQ721856;USA;USA: Sacramento, California;USA;CA;Culex pipiens;Culicidae;pooled insects;09-09-2015;0.02;31.9;14.6
OQ721361;USA;USA: Sacramento, California;USA;CA;Culex pipiens;Culicidae;pooled insects;14-06-2016;0;33.2;14.7
OQ721502;USA;USA: Sacramento, California;USA;CA;Culex pipiens;Culicidae;pooled insects;28-06-2016;0;33.2;14.7
OQ721782;USA;USA: Sacramento, California;USA;CA;Culex pipiens;Culicidae;pooled insects;18-07-2017;0;36.2;16.6
OQ721374;USA;USA: Sacramento, California;USA;CA;Culex pipiens;Culicidae;pooled insects;22-08-2017;0;34.6;16.7
OQ721763;USA;USA: Sacramento, California;USA;CA;Culex pipiens;Culicidae;pooled insects;06-09-2017;0;31.4;15.4
EF631041;USA;USA: Illinois, Cook County;USA;IL;Culex pipiens;Culicidae;;21-07-2005;2.26;24.7;15
EF631042;USA;USA: Illinois, Cook County;USA;IL;Culex pipiens;Culicidae;;21-07-2005;2.26;24.7;15
EF631043;USA;USA: Illinois, Cook County;USA;IL;Culex pipiens;Culicidae;;21-07-2005;2.26;24.7;15
EF631128;USA;USA: Illinois, Cook County;USA;IL;Culex pipiens;Culicidae;;21-07-2005;2.26;24.7;15
EF631139;USA;USA: Illinois, Cook County;USA;IL;Culex pipiens;Culicidae;;24-08-2005;2.19;29.1;17.4
EF631143;USA;USA: Illinois, Cook County;USA;IL;Culex pipiens;Culicidae;;24-08-2005;2.19;29.1;17.4
EF631144;USA;USA: Illinois, Cook County;USA;IL;Culex pipiens;Culicidae;;24-08-2005;2.19;29.1;17.4
EF631146;USA;USA: Illinois, Cook County;USA;IL;Culex pipiens;Culicidae;;24-08-2005;2.19;29.1;17.4
EF631147;USA;USA: Illinois, Cook County;USA;IL;Culex pipiens;Culicidae;;24-08-2005;2.19;29.1;17.4
EF631058;USA;USA: Illinois, Cook County;USA;IL;Culex pipiens;Culicidae;;30-08-2005;2.19;29.1;17.4
EF631059;USA;USA: Illinois, Cook County;USA;IL;Culex pipiens;Culicidae;;30-08-2005;2.19;29.1;17.4
EF631035;USA;USA: Illinois, Cook County;USA;IL;Culex pipiens;Culicidae;;01-09-2005;2.6;23.5;13.7
EF631044;USA;USA: Illinois, Cook County;USA;IL;Culex pipiens;Culicidae;;01-09-2005;2.6;23.5;13.7
EF631087;USA;USA: Illinois, Cook County;USA;IL;Culex pipiens;Culicidae;;02-09-2005;2.6;23.5;13.7
EF631093;USA;USA: Illinois, Cook County;USA;IL;Culex pipiens;Culicidae;;02-09-2005;2.6;23.5;13.7
EF631095;USA;USA: Illinois, Cook County;USA;IL;Culex pipiens;Culicidae;;02-09-2005;2.6;23.5;13.7
EF631105;USA;USA: Illinois, Cook County;USA;IL;Culex pipiens;Culicidae;;02-09-2005;2.6;23.5;13.7
EF631124;USA;USA: Illinois, Cook County;USA;IL;Culex pipiens;Culicidae;;06-09-2005;2.6;23.5;13.7
EF631126;USA;USA: Illinois, Cook County;USA;IL;Culex pipiens;Culicidae;;06-09-2005;2.6;23.5;13.7
EF631148;USA;USA: Illinois, Cook County;USA;IL;Culex pipiens;Culicidae;;07-09-2005;2.6;23.5;13.7
EF631149;USA;USA: Illinois, Cook County;USA;IL;Culex pipiens;Culicidae;;07-09-2005;2.6;23.5;13.7
