Accession;Organism_Name;GenBank_RefSeq;Assembly;Org_location;Release_Date;Isolate;Species;Length;Nuc_Completeness;Geo_Location;Country;USA;Host;Tissue_Specimen_Source;Collection_Date
NC_009942;West Nile virus;RefSeq;GCF_000875385.1;USA;2007-10-19;385-99;Orthoflavivirus nilense;11029;complete;USA;USA;;;;
PQ005944;West Nile virus;GenBank;;USA;2024-12-23;;Orthoflavivirus nilense;10926;partial;USA: San Gabriel Valley, California;USA;CA;Culex quinquefasciatus;;2022
PQ005945;West Nile virus;GenBank;;USA;2024-12-23;;Orthoflavivirus nilense;10926;partial;USA: San Gabriel Valley, California;USA;CA;Culex quinquefasciatus;;2022
PQ005946;West Nile virus;GenBank;;USA;2024-12-23;;Orthoflavivirus nilense;10926;partial;USA: San Gabriel Valley, California;USA;CA;Culex quinquefasciatus;;2022
PQ005947;West Nile virus;GenBank;;USA;2024-12-23;;Orthoflavivirus nilense;10928;partial;USA: San Gabriel Valley, California;USA;CA;Culex quinquefasciatus;;2022
PQ005948;West Nile virus;GenBank;;USA;2024-12-23;;Orthoflavivirus nilense;10932;partial;USA: San Gabriel Valley, California;USA;CA;Culex quinquefasciatus;;2022
PQ005949;West Nile virus;GenBank;;USA;2024-12-23;;Orthoflavivirus nilense;10926;partial;USA: San Gabriel Valley, California;USA;CA;Culex quinquefasciatus;;2022
PQ005950;West Nile virus;GenBank;;USA;2024-12-23;;Orthoflavivirus nilense;10926;partial;USA: San Gabriel Valley, California;USA;CA;Culex quinquefasciatus;;2022
PQ005951;West Nile virus;GenBank;;USA;2024-12-23;;Orthoflavivirus nilense;10928;partial;USA: San Gabriel Valley, California;USA;CA;Culex quinquefasciatus;;2022
PQ005952;West Nile virus;GenBank;;USA;2024-12-23;;Orthoflavivirus nilense;10929;partial;USA: San Gabriel Valley, California;USA;CA;Culex quinquefasciatus;;2022
PQ005953;West Nile virus;GenBank;;USA;2024-12-23;;Orthoflavivirus nilense;10926;partial;USA: San Gabriel Valley, California;USA;CA;Culex quinquefasciatus;;2022
PQ005954;West Nile virus;GenBank;;USA;2024-12-23;;Orthoflavivirus nilense;10932;partial;USA: San Gabriel Valley, California;USA;CA;Culex quinquefasciatus;;2022
